(32, 12, 4)	nan
(32, 29, 3)	(29, 12, 3)	nan
(32, 29, 3)	(29, 12, 4)	nan
(32, 29, 3)	(29, 35, 1)	(35, 12, 3)	nan
(32, 29, 3)	(29, 35, 1)	(35, 12, 3)	nan
(32, 29, 3)	(29, 35, 1)	(35, 12, 4)	nan
(32, 29, 3)	(29, 86, 1)	(86, 12, 7)	nan
(32, 86, 7)	(86, 33, 8)	(33, 12, 3)	nan
(32, 86, 7)	(86, 33, 8)	(33, 12, 3)	nan
(32, 86, 7)	(86, 33, 3)	(33, 12, 3)	nan
(32, 86, 7)	(86, 66, 2)	(66, 12, 3)	nan
(32, 86, 7)	(86, 66, 2)	(66, 12, 0)	nan
(32, 86, 7)	(86, 77, 7)	(77, 12, 3)	nan
(32, 86, 7)	(86, 12, 7)	nan
(32, 86, 7)	(86, 53, 7)	(53, 12, 3)	nan
(32, 86, 7)	(86, 53, 7)	(53, 12, 6)	nan
(32, 86, 7)	(86, 65, 8)	(65, 12, 3)	nan
(32, 86, 7)	(86, 65, 8)	(65, 12, 4)	nan
(32, 61, 1)	(61, 35, 8)	(35, 12, 3)	nan
(32, 61, 1)	(61, 35, 8)	(35, 12, 3)	nan
(32, 61, 1)	(61, 35, 8)	(35, 12, 4)	nan
(32, 61, 1)	(61, 35, 7)	(35, 12, 3)	nan
(32, 61, 1)	(61, 35, 7)	(35, 12, 3)	nan
(32, 61, 1)	(61, 35, 7)	(35, 12, 4)	nan
(32, 61, 1)	(61, 34, 8)	(34, 12, 3)	nan
(32, 61, 1)	(61, 36, 3)	(36, 12, 3)	nan
(32, 61, 1)	(61, 36, 1)	(36, 12, 3)	nan
(32, 61, 1)	(61, 69, 7)	(69, 12, 3)	nan
(32, 61, 1)	(61, 69, 7)	(69, 12, 3)	nan
(32, 61, 1)	(61, 69, 7)	(69, 12, 6)	nan
(32, 61, 1)	(61, 69, 7)	(69, 12, 0)	nan
(32, 61, 1)	(61, 43, 5)	(43, 12, 0)	nan
(32, 61, 1)	(61, 77, 7)	(77, 12, 3)	nan
(32, 76, 7)	(76, 35, 8)	(35, 12, 3)	nan
(32, 76, 7)	(76, 35, 8)	(35, 12, 3)	nan
(32, 76, 7)	(76, 35, 8)	(35, 12, 4)	nan
(32, 76, 7)	(76, 35, 8)	(35, 12, 3)	nan
(32, 76, 7)	(76, 35, 8)	(35, 12, 3)	nan
(32, 76, 7)	(76, 35, 8)	(35, 12, 4)	nan
(32, 51, 1)	(51, 81, 7)	(81, 12, 3)	nan
(32, 51, 1)	(51, 65, 1)	(65, 12, 3)	nan
(32, 51, 1)	(51, 65, 1)	(65, 12, 4)	nan
(32, 41, 3)	(41, 30, 8)	(30, 12, 3)	nan
(32, 41, 3)	(41, 30, 1)	(30, 12, 3)	nan
(32, 41, 3)	(41, 82, 0)	(82, 12, 3)	nan
(32, 41, 3)	(41, 29, 5)	(29, 12, 3)	nan
(32, 41, 3)	(41, 29, 5)	(29, 12, 4)	nan
(32, 41, 3)	(41, 34, 8)	(34, 12, 3)	nan
(32, 41, 3)	(41, 35, 8)	(35, 12, 3)	nan
(32, 41, 3)	(41, 35, 8)	(35, 12, 3)	nan
