(33, 12, 3)	nan
(33, 54, 2)	(54, 12, 3)	nan
(33, 54, 2)	(54, 12, 3)	nan
(33, 54, 2)	(54, 12, 8)	nan
(33, 54, 2)	(54, 12, 1)	nan
(33, 54, 2)	(54, 12, 1)	nan
(33, 54, 2)	(54, 35, 3)	(35, 12, 3)	nan
(33, 54, 2)	(54, 35, 3)	(35, 12, 3)	nan
(33, 54, 2)	(54, 35, 3)	(35, 12, 4)	nan
(33, 54, 2)	(54, 43, 7)	(43, 12, 0)	nan
(33, 54, 2)	(54, 87, 7)	(87, 12, 3)	nan
(33, 54, 2)	(54, 56, 3)	(56, 12, 3)	nan
(33, 54, 2)	(54, 56, 3)	(56, 12, 8)	nan
(33, 54, 2)	(54, 69, 3)	(69, 12, 3)	nan
(33, 54, 2)	(54, 69, 3)	(69, 12, 3)	nan
(33, 54, 2)	(54, 69, 3)	(69, 12, 6)	nan
(33, 54, 2)	(54, 69, 3)	(69, 12, 0)	nan
(33, 50, 3)	(50, 32, 8)	(32, 12, 3)	nan
(33, 50, 3)	(50, 32, 8)	(32, 12, 4)	nan
(33, 50, 3)	(50, 32, 1)	(32, 12, 3)	nan
(33, 50, 3)	(50, 32, 1)	(32, 12, 4)	nan
(33, 50, 3)	(50, 36, 5)	(36, 12, 3)	nan
(33, 50, 3)	(50, 30, 8)	(30, 12, 3)	nan
(33, 50, 3)	(50, 34, 8)	(34, 12, 3)	nan
(33, 74, 0)	(74, 35, 7)	(35, 12, 3)	nan
(33, 74, 0)	(74, 35, 7)	(35, 12, 3)	nan
(33, 74, 0)	(74, 35, 7)	(35, 12, 4)	nan
(33, 74, 0)	(74, 29, 8)	(29, 12, 3)	nan
(33, 74, 0)	(74, 29, 8)	(29, 12, 4)	nan
(33, 87, 3)	(87, 34, 8)	(34, 12, 3)	nan
(33, 87, 3)	(87, 34, 7)	(34, 12, 3)	nan
(33, 87, 3)	(87, 44, 5)	(44, 12, 3)	nan
(33, 87, 3)	(87, 12, 3)	nan
(33, 87, 3)	(87, 35, 8)	(35, 12, 3)	nan
(33, 87, 3)	(87, 35, 8)	(35, 12, 3)	nan
(33, 87, 3)	(87, 35, 8)	(35, 12, 4)	nan
(33, 41, 1)	(41, 30, 8)	(30, 12, 3)	nan
(33, 41, 1)	(41, 30, 1)	(30, 12, 3)	nan
(33, 41, 1)	(41, 32, 7)	(32, 12, 3)	nan
(33, 41, 1)	(41, 32, 7)	(32, 12, 4)	nan
(33, 41, 1)	(41, 82, 0)	(82, 12, 3)	nan
(33, 41, 1)	(41, 29, 5)	(29, 12, 3)	nan
(33, 41, 1)	(41, 29, 5)	(29, 12, 4)	nan
(33, 41, 1)	(41, 34, 8)	(34, 12, 3)	nan
(33, 41, 1)	(41, 35, 8)	(35, 12, 3)	nan
(33, 41, 1)	(41, 35, 8)	(35, 12, 3)	nan
(33, 41, 1)	(41, 35, 8)	(35, 12, 4)	nan
(33, 84, 0)	(84, 30, 8)	(30, 12, 3)	nan
(33, 84, 0)	(84, 30, 6)	(30, 12, 3)	nan
(33, 84, 0)	(84, 35, 8)	(35, 12, 3)	nan
(33, 84, 0)	(84, 35, 8)	(35, 12, 3)	nan
