(33, 14, 2)	nan
(33, 54, 2)	(54, 14, 3)	nan
(33, 54, 2)	(54, 38, 2)	(38, 14, 3)	nan
(33, 50, 3)	(50, 14, 3)	nan
(33, 50, 3)	(50, 32, 8)	(32, 14, 3)	nan
(33, 50, 3)	(50, 32, 1)	(32, 14, 3)	nan
(33, 50, 3)	(50, 57, 3)	(57, 14, 3)	nan
(33, 50, 3)	(50, 78, 8)	(78, 14, 7)	nan
(33, 87, 3)	(87, 59, 4)	(59, 14, 3)	nan
(33, 41, 1)	(41, 38, 7)	(38, 14, 3)	nan
(33, 41, 1)	(41, 32, 7)	(32, 14, 3)	nan
(33, 29, 2)	(29, 50, 5)	(50, 14, 3)	nan
(33, 29, 2)	(29, 88, 0)	(88, 14, 0)	nan
(33, 29, 2)	(29, 52, 7)	(52, 14, 3)	nan
