(33, 8, 3)	nan
(33, 8, 6)	nan
(33, 8, 7)	nan
(33, 54, 2)	(54, 8, 1)	nan
(33, 54, 2)	(54, 8, 1)	nan
(33, 54, 2)	(54, 8, 4)	nan
(33, 54, 2)	(54, 8, 0)	nan
(33, 54, 2)	(54, 35, 3)	(35, 8, 1)	nan
(33, 54, 2)	(54, 35, 3)	(35, 8, 4)	nan
(33, 54, 2)	(54, 79, 1)	(79, 8, 1)	nan
(33, 54, 2)	(54, 79, 1)	(79, 8, 1)	nan
(33, 54, 2)	(54, 79, 1)	(79, 8, 3)	nan
(33, 54, 2)	(54, 79, 1)	(79, 8, 8)	nan
(33, 54, 2)	(54, 43, 7)	(43, 8, 1)	nan
(33, 54, 2)	(54, 43, 7)	(43, 8, 2)	nan
(33, 54, 2)	(54, 87, 7)	(87, 8, 1)	nan
(33, 54, 2)	(54, 87, 7)	(87, 8, 1)	nan
(33, 54, 2)	(54, 87, 7)	(87, 8, 1)	nan
(33, 54, 2)	(54, 87, 7)	(87, 8, 1)	nan
(33, 54, 2)	(54, 87, 7)	(87, 8, 1)	nan
(33, 54, 2)	(54, 69, 3)	(69, 8, 1)	nan
(33, 54, 2)	(54, 69, 3)	(69, 8, 1)	nan
(33, 54, 2)	(54, 69, 3)	(69, 8, 5)	nan
(33, 54, 2)	(54, 69, 3)	(69, 8, 3)	nan
(33, 50, 3)	(50, 32, 8)	(32, 8, 1)	nan
(33, 50, 3)	(50, 32, 8)	(32, 8, 1)	nan
(33, 50, 3)	(50, 32, 8)	(32, 8, 5)	nan
(33, 50, 3)	(50, 32, 1)	(32, 8, 1)	nan
(33, 50, 3)	(50, 32, 1)	(32, 8, 1)	nan
(33, 50, 3)	(50, 32, 1)	(32, 8, 5)	nan
(33, 50, 3)	(50, 36, 5)	(36, 8, 1)	nan
(33, 50, 3)	(50, 36, 5)	(36, 8, 2)	nan
(33, 50, 3)	(50, 61, 5)	(61, 8, 1)	nan
(33, 50, 3)	(50, 61, 5)	(61, 8, 1)	nan
(33, 50, 3)	(50, 61, 5)	(61, 8, 3)	nan
(33, 50, 3)	(50, 61, 5)	(61, 8, 0)	nan
(33, 50, 3)	(50, 34, 8)	(34, 8, 1)	nan
(33, 50, 3)	(50, 34, 8)	(34, 8, 1)	nan
(33, 50, 3)	(50, 34, 8)	(34, 8, 2)	nan
(33, 50, 3)	(50, 34, 8)	(34, 8, 4)	nan
(33, 50, 3)	(50, 57, 3)	(57, 8, 1)	nan
(33, 50, 3)	(50, 57, 3)	(57, 8, 3)	nan
(33, 50, 3)	(50, 78, 8)	(78, 8, 1)	nan
(33, 50, 3)	(50, 78, 8)	(78, 8, 1)	nan
(33, 50, 3)	(50, 78, 8)	(78, 8, 1)	nan
(33, 50, 3)	(50, 78, 8)	(78, 8, 1)	nan
(33, 50, 3)	(50, 78, 8)	(78, 8, 1)	nan
(33, 74, 0)	(74, 76, 5)	(76, 8, 1)	nan
(33, 74, 0)	(74, 76, 5)	(76, 8, 1)	nan
