(34, 91, 1)	(91, 21, 5)	nan
(34, 91, 1)	(91, 21, 7)	nan
(34, 91, 1)	(91, 21, 1)	nan
(34, 91, 1)	(91, 39, 3)	(39, 21, 5)	nan
(34, 91, 1)	(91, 49, 7)	(49, 21, 5)	nan
(34, 91, 1)	(91, 49, 7)	(49, 21, 5)	nan
(34, 91, 1)	(91, 49, 7)	(49, 21, 4)	nan
(34, 91, 1)	(91, 49, 7)	(49, 21, 3)	nan
(34, 91, 1)	(91, 80, 7)	(80, 21, 5)	nan
(34, 91, 1)	(91, 74, 7)	(74, 21, 5)	nan
(34, 91, 1)	(91, 74, 7)	(74, 21, 0)	nan
(34, 91, 1)	(91, 33, 5)	(33, 21, 5)	nan
(34, 67, 2)	(67, 21, 5)	nan
(34, 67, 2)	(67, 21, 6)	nan
(34, 67, 2)	(67, 53, 7)	(53, 21, 5)	nan
(34, 67, 2)	(67, 53, 7)	(53, 21, 3)	nan
(34, 67, 2)	(67, 77, 7)	(77, 21, 5)	nan
(34, 67, 2)	(67, 77, 7)	(77, 21, 5)	nan
(34, 67, 2)	(67, 77, 7)	(77, 21, 5)	nan
(34, 67, 2)	(67, 77, 7)	(77, 21, 5)	nan
(34, 67, 2)	(67, 77, 7)	(77, 21, 5)	nan
(34, 67, 2)	(67, 52, 7)	(52, 21, 5)	nan
(34, 67, 2)	(67, 52, 7)	(52, 21, 5)	nan
(34, 67, 2)	(67, 52, 7)	(52, 21, 8)	nan
(34, 67, 2)	(67, 52, 7)	(52, 21, 4)	nan
(34, 67, 2)	(67, 30, 8)	(30, 21, 5)	nan
(34, 67, 2)	(67, 30, 8)	(30, 21, 3)	nan
(34, 59, 7)	(59, 21, 5)	nan
(34, 59, 7)	(59, 29, 3)	(29, 21, 5)	nan
(34, 59, 7)	(59, 29, 3)	(29, 21, 5)	nan
(34, 59, 7)	(59, 29, 3)	(29, 21, 0)	nan
(34, 59, 7)	(59, 29, 3)	(29, 21, 2)	nan
(34, 59, 7)	(59, 77, 3)	(77, 21, 5)	nan
(34, 59, 7)	(59, 77, 3)	(77, 21, 5)	nan
(34, 59, 7)	(59, 77, 3)	(77, 21, 5)	nan
(34, 59, 7)	(59, 77, 3)	(77, 21, 5)	nan
(34, 59, 7)	(59, 77, 3)	(77, 21, 5)	nan
(34, 59, 7)	(59, 47, 5)	(47, 21, 5)	nan
(34, 59, 7)	(59, 47, 5)	(47, 21, 6)	nan
(34, 59, 7)	(59, 47, 2)	(47, 21, 5)	nan
(34, 59, 7)	(59, 47, 2)	(47, 21, 6)	nan
(34, 59, 7)	(59, 46, 7)	(46, 21, 5)	nan
(34, 59, 7)	(59, 46, 7)	(46, 21, 2)	nan
(34, 59, 7)	(59, 46, 7)	(46, 21, 1)	nan
(34, 59, 7)	(59, 46, 7)	(46, 21, 5)	nan
(34, 59, 7)	(59, 46, 7)	(46, 21, 2)	nan
(34, 59, 7)	(59, 46, 7)	(46, 21, 1)	nan
(34, 59, 7)	(59, 46, 1)	(46, 21, 5)	nan
(34, 59, 7)	(59, 46, 1)	(46, 21, 2)	nan
(34, 59, 7)	(59, 46, 1)	(46, 21, 1)	nan
