(34, 67, 2)	(67, 32, 8)	nan
(34, 59, 7)	(59, 81, 3)	(81, 32, 8)	nan
(34, 59, 3)	(59, 81, 3)	(81, 32, 8)	nan
(34, 59, 3)	(59, 81, 3)	(81, 32, 8)	nan
(34, 41, 7)	(41, 32, 7)	nan
(34, 41, 7)	(41, 31, 8)	(31, 32, 0)	nan
(34, 41, 7)	(41, 67, 7)	(67, 32, 8)	nan
(34, 41, 7)	(41, 76, 0)	(76, 32, 8)	nan
(34, 41, 7)	(41, 76, 0)	(76, 32, 8)	nan
(34, 41, 7)	(41, 76, 0)	(76, 32, 0)	nan
(34, 33, 8)	(33, 50, 3)	(50, 32, 8)	nan
(34, 33, 8)	(33, 50, 3)	(50, 32, 1)	nan
(34, 33, 8)	(33, 41, 1)	(41, 32, 7)	nan
(34, 35, 8)	(35, 68, 7)	(68, 32, 8)	nan
(34, 35, 8)	(35, 68, 7)	(68, 32, 8)	nan
(34, 35, 8)	(35, 68, 7)	(68, 32, 6)	nan
