(38, 48, 0)	(48, 4, 0)	nan
(38, 48, 0)	(48, 4, 5)	nan
(38, 48, 0)	(48, 30, 8)	(30, 4, 0)	nan
(38, 48, 0)	(48, 30, 8)	(30, 4, 7)	nan
(38, 48, 0)	(48, 71, 7)	(71, 4, 0)	nan
(38, 48, 0)	(48, 88, 7)	(88, 4, 0)	nan
(38, 48, 0)	(48, 59, 8)	(59, 4, 0)	nan
(38, 48, 0)	(48, 33, 0)	(33, 4, 0)	nan
(38, 92, 2)	(92, 29, 7)	(29, 4, 0)	nan
(38, 92, 2)	(92, 40, 7)	(40, 4, 0)	nan
(38, 92, 2)	(92, 40, 7)	(40, 4, 7)	nan
(38, 92, 2)	(92, 88, 7)	(88, 4, 0)	nan
(38, 82, 2)	(82, 43, 4)	(43, 4, 0)	nan
(38, 82, 2)	(82, 43, 4)	(43, 4, 5)	nan
(38, 82, 2)	(82, 62, 1)	(62, 4, 0)	nan
(38, 82, 2)	(82, 62, 1)	(62, 4, 0)	nan
(38, 82, 2)	(82, 4, 0)	nan
