(42, 26, 2)	nan
(42, 64, 7)	(64, 26, 7)	nan
(42, 64, 7)	(64, 26, 7)	nan
(42, 64, 7)	(64, 26, 2)	nan
(42, 64, 7)	(64, 29, 8)	(29, 26, 7)	nan
(42, 64, 7)	(64, 29, 8)	(29, 26, 2)	nan
(42, 64, 7)	(64, 29, 8)	(29, 26, 7)	nan
(42, 64, 7)	(64, 29, 8)	(29, 26, 2)	nan
(42, 64, 7)	(64, 29, 4)	(29, 26, 7)	nan
(42, 64, 7)	(64, 29, 4)	(29, 26, 2)	nan
(42, 64, 7)	(64, 29, 6)	(29, 26, 7)	nan
(42, 64, 7)	(64, 29, 6)	(29, 26, 2)	nan
(42, 64, 7)	(64, 33, 0)	(33, 26, 7)	nan
(42, 64, 7)	(64, 33, 0)	(33, 26, 7)	nan
(42, 64, 7)	(64, 33, 0)	(33, 26, 0)	nan
(42, 64, 7)	(64, 33, 0)	(33, 26, 4)	nan
(42, 64, 7)	(64, 30, 8)	(30, 26, 7)	nan
(42, 64, 7)	(64, 30, 8)	(30, 26, 7)	nan
(42, 64, 7)	(64, 30, 8)	(30, 26, 4)	nan
(42, 64, 7)	(64, 30, 8)	(30, 26, 5)	nan
(42, 64, 7)	(64, 30, 5)	(30, 26, 7)	nan
(42, 64, 7)	(64, 30, 5)	(30, 26, 7)	nan
(42, 64, 7)	(64, 30, 5)	(30, 26, 4)	nan
(42, 64, 7)	(64, 30, 5)	(30, 26, 5)	nan
(42, 64, 7)	(64, 83, 7)	(83, 26, 7)	nan
(42, 64, 7)	(64, 83, 7)	(83, 26, 7)	nan
(42, 64, 7)	(64, 83, 7)	(83, 26, 7)	nan
(42, 64, 7)	(64, 83, 7)	(83, 26, 7)	nan
(42, 64, 7)	(64, 83, 7)	(83, 26, 7)	nan
(42, 64, 7)	(64, 83, 7)	(83, 26, 7)	nan
(42, 64, 7)	(64, 83, 7)	(83, 26, 7)	nan
(42, 64, 7)	(64, 37, 3)	(37, 26, 7)	nan
(42, 64, 7)	(64, 37, 3)	(37, 26, 7)	nan
(42, 64, 7)	(64, 37, 3)	(37, 26, 4)	nan
(42, 64, 7)	(64, 37, 3)	(37, 26, 4)	nan
(42, 64, 7)	(64, 60, 3)	(60, 26, 7)	nan
(42, 64, 7)	(64, 60, 3)	(60, 26, 5)	nan
(42, 64, 7)	(64, 36, 7)	(36, 26, 7)	nan
(42, 64, 7)	(64, 36, 4)	(36, 26, 7)	nan
(42, 64, 7)	(64, 74, 7)	(74, 26, 7)	nan
(42, 64, 7)	(64, 74, 7)	(74, 26, 0)	nan
(42, 29, 7)	(29, 26, 7)	nan
(42, 29, 7)	(29, 26, 2)	nan
(42, 29, 7)	(29, 88, 0)	(88, 26, 7)	nan
(42, 29, 7)	(29, 88, 0)	(88, 26, 7)	nan
(42, 29, 7)	(29, 88, 0)	(88, 26, 8)	nan
(42, 29, 7)	(29, 88, 0)	(88, 26, 2)	nan
(42, 29, 7)	(29, 35, 1)	(35, 26, 7)	nan
(42, 29, 7)	(29, 76, 3)	(76, 26, 7)	nan
(42, 29, 7)	(29, 76, 3)	(76, 26, 7)	nan
