(46, 4, 0)	nan
(46, 4, 5)	nan
(46, 4, 4)	nan
(46, 30, 8)	(30, 4, 0)	nan
(46, 30, 8)	(30, 4, 7)	nan
(46, 30, 8)	(30, 75, 7)	(75, 4, 5)	nan
(46, 30, 8)	(30, 75, 7)	(75, 4, 7)	nan
(46, 30, 8)	(30, 88, 5)	(88, 4, 0)	nan
(46, 50, 2)	(50, 36, 5)	(36, 4, 0)	nan
(46, 50, 2)	(50, 30, 8)	(30, 4, 0)	nan
(46, 50, 2)	(50, 30, 8)	(30, 4, 7)	nan
(46, 50, 2)	(50, 61, 5)	(61, 4, 0)	nan
(46, 50, 2)	(50, 31, 7)	(31, 4, 0)	nan
(46, 50, 2)	(50, 57, 3)	(57, 4, 0)	nan
(46, 50, 2)	(50, 57, 3)	(57, 4, 0)	nan
(46, 74, 0)	(74, 33, 8)	(33, 4, 0)	nan
(46, 74, 0)	(74, 33, 7)	(33, 4, 0)	nan
(46, 74, 0)	(74, 90, 1)	(90, 4, 0)	nan
(46, 74, 0)	(74, 90, 1)	(90, 4, 6)	nan
(46, 74, 0)	(74, 29, 8)	(29, 4, 0)	nan
(46, 29, 8)	(29, 88, 0)	(88, 4, 0)	nan
(46, 29, 8)	(29, 61, 7)	(61, 4, 0)	nan
(46, 29, 8)	(29, 4, 0)	nan
(46, 69, 0)	(69, 33, 8)	(33, 4, 0)	nan
(46, 69, 0)	(69, 48, 2)	(48, 4, 0)	nan
(46, 69, 0)	(69, 48, 2)	(48, 4, 5)	nan
(46, 69, 0)	(69, 4, 0)	nan
(46, 69, 0)	(69, 63, 1)	(63, 4, 0)	nan
(46, 69, 0)	(69, 73, 2)	(73, 4, 0)	nan
(46, 69, 0)	(69, 36, 5)	(36, 4, 0)	nan
(46, 54, 5)	(54, 43, 7)	(43, 4, 0)	nan
(46, 54, 5)	(54, 43, 7)	(43, 4, 5)	nan
(46, 54, 5)	(54, 69, 3)	(69, 4, 0)	nan
(46, 53, 0)	(53, 57, 2)	(57, 4, 0)	nan
(46, 53, 0)	(53, 57, 2)	(57, 4, 0)	nan
(46, 53, 0)	(53, 90, 7)	(90, 4, 0)	nan
(46, 53, 0)	(53, 90, 7)	(90, 4, 6)	nan
(46, 53, 0)	(53, 44, 3)	(44, 4, 0)	nan
(46, 64, 1)	(64, 29, 8)	(29, 4, 0)	nan
(46, 64, 1)	(64, 29, 8)	(29, 4, 0)	nan
(46, 64, 1)	(64, 29, 4)	(29, 4, 0)	nan
(46, 64, 1)	(64, 29, 6)	(29, 4, 0)	nan
(46, 64, 1)	(64, 33, 0)	(33, 4, 0)	nan
(46, 64, 1)	(64, 30, 8)	(30, 4, 0)	nan
(46, 64, 1)	(64, 30, 8)	(30, 4, 7)	nan
(46, 64, 1)	(64, 30, 5)	(30, 4, 0)	nan
(46, 64, 1)	(64, 30, 5)	(30, 4, 7)	nan
(46, 64, 1)	(64, 36, 7)	(36, 4, 0)	nan
(46, 64, 1)	(64, 36, 4)	(36, 4, 0)	nan
(46, 47, 8)	(47, 4, 0)	nan
