(48, 27, 7)	nan
(48, 27, 8)	nan
(48, 27, 4)	nan
(48, 30, 8)	(30, 27, 7)	nan
(48, 30, 8)	(30, 60, 7)	(60, 27, 3)	nan
(48, 30, 8)	(30, 60, 0)	(60, 27, 3)	nan
(48, 30, 8)	(30, 88, 5)	(88, 27, 7)	nan
(48, 30, 8)	(30, 88, 5)	(88, 27, 7)	nan
(48, 30, 8)	(30, 88, 5)	(88, 27, 5)	nan
(48, 30, 8)	(30, 88, 5)	(88, 27, 3)	nan
(48, 30, 8)	(30, 34, 8)	(34, 27, 7)	nan
(48, 30, 8)	(30, 34, 8)	(34, 27, 7)	nan
(48, 30, 8)	(30, 85, 0)	(85, 27, 7)	nan
(48, 30, 8)	(30, 85, 0)	(85, 27, 7)	nan
(48, 30, 8)	(30, 85, 0)	(85, 27, 2)	nan
(48, 30, 8)	(30, 85, 0)	(85, 27, 2)	nan
(48, 83, 7)	(83, 29, 8)	(29, 27, 7)	nan
(48, 83, 7)	(83, 29, 8)	(29, 27, 5)	nan
(48, 83, 7)	(83, 29, 2)	(29, 27, 7)	nan
(48, 83, 7)	(83, 29, 2)	(29, 27, 5)	nan
(48, 83, 7)	(83, 87, 0)	(87, 27, 7)	nan
(48, 83, 7)	(83, 87, 0)	(87, 27, 7)	nan
(48, 83, 7)	(83, 87, 0)	(87, 27, 3)	nan
(48, 83, 7)	(83, 87, 0)	(87, 27, 5)	nan
(48, 83, 7)	(83, 76, 3)	(76, 27, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 27, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 27, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 27, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 27, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 27, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 27, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 27, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 27, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 27, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 27, 7)	nan
(48, 83, 7)	(83, 76, 3)	(76, 27, 7)	nan
(48, 83, 7)	(83, 85, 0)	(85, 27, 7)	nan
(48, 83, 7)	(83, 85, 0)	(85, 27, 7)	nan
(48, 83, 7)	(83, 85, 0)	(85, 27, 2)	nan
(48, 83, 7)	(83, 85, 0)	(85, 27, 2)	nan
(48, 83, 7)	(83, 49, 1)	(49, 27, 7)	nan
(48, 71, 7)	(71, 34, 8)	(34, 27, 7)	nan
(48, 71, 7)	(71, 34, 8)	(34, 27, 7)	nan
(48, 71, 7)	(71, 34, 8)	(34, 27, 7)	nan
(48, 71, 7)	(71, 34, 8)	(34, 27, 7)	nan
(48, 71, 7)	(71, 34, 1)	(34, 27, 7)	nan
(48, 71, 7)	(71, 34, 1)	(34, 27, 7)	nan
(48, 71, 7)	(71, 34, 1)	(34, 27, 7)	nan
(48, 71, 7)	(71, 34, 1)	(34, 27, 7)	nan
(48, 71, 7)	(71, 27, 7)	nan
