(49, 41, 2)	(41, 22, 5)	nan
(49, 41, 2)	(41, 22, 5)	nan
(49, 41, 2)	(41, 22, 3)	nan
(49, 41, 2)	(41, 22, 4)	nan
(49, 41, 2)	(41, 30, 8)	(30, 22, 5)	nan
(49, 41, 2)	(41, 30, 8)	(30, 22, 7)	nan
(49, 41, 2)	(41, 30, 1)	(30, 22, 5)	nan
(49, 41, 2)	(41, 30, 1)	(30, 22, 7)	nan
(49, 41, 2)	(41, 38, 7)	(38, 22, 5)	nan
(49, 41, 2)	(41, 32, 7)	(32, 22, 5)	nan
(49, 41, 2)	(41, 32, 7)	(32, 22, 5)	nan
(49, 41, 2)	(41, 32, 7)	(32, 22, 6)	nan
(49, 41, 2)	(41, 82, 0)	(82, 22, 5)	nan
(49, 41, 2)	(41, 48, 5)	(48, 22, 5)	nan
(49, 41, 2)	(41, 48, 5)	(48, 22, 6)	nan
(49, 41, 2)	(41, 31, 8)	(31, 22, 5)	nan
(49, 41, 2)	(41, 31, 8)	(31, 22, 8)	nan
(49, 41, 2)	(41, 67, 7)	(67, 22, 5)	nan
(49, 41, 2)	(41, 29, 5)	(29, 22, 5)	nan
(49, 41, 2)	(41, 29, 5)	(29, 22, 5)	nan
(49, 41, 2)	(41, 29, 5)	(29, 22, 5)	nan
(49, 41, 2)	(41, 29, 5)	(29, 22, 5)	nan
(49, 41, 2)	(41, 76, 0)	(76, 22, 5)	nan
(49, 41, 2)	(41, 45, 0)	(45, 22, 5)	nan
(49, 41, 2)	(41, 45, 0)	(45, 22, 5)	nan
(49, 41, 2)	(41, 45, 0)	(45, 22, 7)	nan
(49, 41, 2)	(41, 35, 8)	(35, 22, 5)	nan
(49, 41, 2)	(41, 35, 8)	(35, 22, 5)	nan
(49, 41, 2)	(41, 35, 8)	(35, 22, 3)	nan
(49, 58, 3)	(58, 35, 8)	(35, 22, 5)	nan
(49, 58, 3)	(58, 35, 8)	(35, 22, 5)	nan
(49, 58, 3)	(58, 35, 8)	(35, 22, 3)	nan
(49, 58, 3)	(58, 35, 2)	(35, 22, 5)	nan
(49, 58, 3)	(58, 35, 2)	(35, 22, 5)	nan
(49, 58, 3)	(58, 35, 2)	(35, 22, 3)	nan
(49, 58, 3)	(58, 22, 5)	nan
(49, 58, 3)	(58, 54, 7)	(54, 22, 7)	nan
(49, 58, 3)	(58, 46, 7)	(46, 22, 5)	nan
(49, 58, 3)	(58, 37, 2)	(37, 22, 5)	nan
(49, 58, 3)	(58, 71, 5)	(71, 22, 5)	nan
(49, 58, 3)	(58, 71, 5)	(71, 22, 5)	nan
(49, 58, 3)	(58, 68, 2)	(68, 22, 5)	nan
(49, 58, 3)	(58, 68, 2)	(68, 22, 5)	nan
(49, 58, 3)	(58, 68, 2)	(68, 22, 3)	nan
(49, 58, 3)	(58, 68, 2)	(68, 22, 1)	nan
(49, 58, 2)	(58, 35, 8)	(35, 22, 5)	nan
(49, 58, 2)	(58, 35, 8)	(35, 22, 5)	nan
(49, 58, 2)	(58, 35, 8)	(35, 22, 3)	nan
(49, 58, 2)	(58, 35, 2)	(35, 22, 5)	nan
(49, 58, 2)	(58, 35, 2)	(35, 22, 5)	nan
(49, 58, 2)	(58, 35, 2)	(35, 22, 3)	nan
