(51, 27, 1)	nan
(51, 76, 5)	(76, 27, 7)	nan
(51, 76, 5)	(76, 27, 7)	nan
(51, 76, 5)	(76, 27, 7)	nan
(51, 76, 5)	(76, 27, 7)	nan
(51, 76, 5)	(76, 27, 7)	nan
(51, 76, 5)	(76, 27, 7)	nan
(51, 76, 5)	(76, 27, 7)	nan
(51, 76, 5)	(76, 27, 7)	nan
(51, 76, 5)	(76, 27, 7)	nan
(51, 76, 5)	(76, 27, 7)	nan
(51, 76, 5)	(76, 27, 7)	nan
(51, 76, 5)	(76, 27, 7)	nan
(51, 76, 5)	(76, 40, 1)	(40, 27, 7)	nan
(51, 76, 5)	(76, 40, 1)	(40, 27, 2)	nan
(51, 76, 5)	(76, 35, 8)	(35, 27, 7)	nan
(51, 76, 5)	(76, 35, 8)	(35, 27, 7)	nan
(51, 59, 5)	(59, 27, 7)	nan
(51, 59, 5)	(59, 29, 3)	(29, 27, 7)	nan
(51, 59, 5)	(59, 29, 3)	(29, 27, 5)	nan
(51, 59, 5)	(59, 77, 3)	(77, 27, 7)	nan
(51, 59, 5)	(59, 77, 3)	(77, 27, 5)	nan
(51, 59, 5)	(59, 47, 5)	(47, 27, 7)	nan
(51, 59, 5)	(59, 47, 5)	(47, 27, 5)	nan
(51, 59, 5)	(59, 47, 5)	(47, 27, 4)	nan
(51, 59, 5)	(59, 47, 2)	(47, 27, 7)	nan
(51, 59, 5)	(59, 47, 2)	(47, 27, 5)	nan
(51, 59, 5)	(59, 47, 2)	(47, 27, 4)	nan
(51, 59, 5)	(59, 81, 3)	(81, 27, 7)	nan
(51, 59, 5)	(59, 33, 8)	(33, 27, 7)	nan
(51, 59, 5)	(59, 33, 8)	(33, 27, 0)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 59, 5)	(59, 66, 7)	(66, 27, 7)	nan
(51, 81, 7)	(81, 27, 7)	nan
(51, 81, 7)	(81, 29, 8)	(29, 27, 7)	nan
(51, 81, 7)	(81, 29, 8)	(29, 27, 5)	nan
