(51, 6, 3)	nan
(51, 76, 5)	(76, 6, 1)	nan
(51, 76, 5)	(76, 6, 1)	nan
(51, 76, 5)	(76, 6, 1)	nan
(51, 76, 5)	(76, 6, 1)	nan
(51, 76, 5)	(76, 6, 1)	nan
(51, 76, 5)	(76, 6, 1)	nan
(51, 76, 5)	(76, 6, 1)	nan
(51, 76, 5)	(76, 37, 8)	(37, 6, 7)	nan
(51, 76, 5)	(76, 40, 1)	(40, 6, 1)	nan
(51, 76, 5)	(76, 40, 1)	(40, 6, 1)	nan
(51, 76, 5)	(76, 40, 1)	(40, 6, 8)	nan
(51, 76, 5)	(76, 40, 1)	(40, 6, 3)	nan
(51, 76, 5)	(76, 35, 8)	(35, 6, 1)	nan
(51, 76, 5)	(76, 35, 8)	(35, 6, 1)	nan
(51, 76, 5)	(76, 35, 8)	(35, 6, 1)	nan
(51, 76, 5)	(76, 35, 8)	(35, 6, 1)	nan
(51, 59, 5)	(59, 29, 3)	(29, 6, 1)	nan
(51, 59, 5)	(59, 29, 3)	(29, 6, 2)	nan
(51, 59, 5)	(59, 77, 3)	(77, 6, 1)	nan
(51, 59, 5)	(59, 77, 3)	(77, 6, 1)	nan
(51, 59, 5)	(59, 77, 3)	(77, 6, 1)	nan
(51, 59, 5)	(59, 77, 3)	(77, 6, 1)	nan
(51, 59, 5)	(59, 77, 3)	(77, 6, 1)	nan
(51, 59, 5)	(59, 47, 5)	(47, 6, 1)	nan
(51, 59, 5)	(59, 47, 5)	(47, 6, 4)	nan
(51, 59, 5)	(59, 47, 2)	(47, 6, 1)	nan
(51, 59, 5)	(59, 47, 2)	(47, 6, 4)	nan
(51, 59, 5)	(59, 81, 3)	(81, 6, 1)	nan
(51, 59, 5)	(59, 81, 3)	(81, 6, 1)	nan
(51, 59, 5)	(59, 81, 3)	(81, 6, 7)	nan
(51, 59, 5)	(59, 46, 7)	(46, 6, 1)	nan
(51, 59, 5)	(59, 46, 7)	(46, 6, 4)	nan
(51, 59, 5)	(59, 46, 7)	(46, 6, 1)	nan
(51, 59, 5)	(59, 46, 7)	(46, 6, 4)	nan
(51, 59, 5)	(59, 46, 1)	(46, 6, 1)	nan
(51, 59, 5)	(59, 46, 1)	(46, 6, 4)	nan
(51, 59, 5)	(59, 66, 7)	(66, 6, 1)	nan
(51, 59, 5)	(59, 66, 7)	(66, 6, 1)	nan
(51, 59, 5)	(59, 66, 7)	(66, 6, 1)	nan
(51, 59, 5)	(59, 66, 7)	(66, 6, 1)	nan
(51, 81, 7)	(81, 6, 1)	nan
(51, 81, 7)	(81, 6, 1)	nan
(51, 81, 7)	(81, 6, 7)	nan
(51, 81, 7)	(81, 29, 8)	(29, 6, 1)	nan
(51, 81, 7)	(81, 29, 8)	(29, 6, 2)	nan
(51, 81, 7)	(81, 29, 7)	(29, 6, 1)	nan
(51, 81, 7)	(81, 29, 7)	(29, 6, 2)	nan
(51, 81, 7)	(81, 29, 1)	(29, 6, 1)	nan
(51, 81, 7)	(81, 29, 1)	(29, 6, 2)	nan
