(52, 14, 3)	nan
(52, 33, 1)	(33, 14, 3)	nan
(52, 33, 1)	(33, 14, 2)	nan
(52, 33, 1)	(33, 54, 2)	(54, 14, 3)	nan
(52, 33, 1)	(33, 50, 3)	(50, 14, 3)	nan
(52, 29, 8)	(29, 50, 5)	(50, 14, 3)	nan
(52, 29, 8)	(29, 88, 0)	(88, 14, 0)	nan
(52, 45, 3)	(45, 59, 1)	(59, 14, 3)	nan
(52, 45, 3)	(45, 33, 8)	(33, 14, 3)	nan
(52, 45, 3)	(45, 33, 8)	(33, 14, 2)	nan
(52, 45, 3)	(45, 83, 1)	(83, 14, 3)	nan
(52, 45, 3)	(45, 53, 0)	(53, 14, 3)	nan
(52, 45, 3)	(45, 53, 0)	(53, 14, 3)	nan
(52, 45, 3)	(45, 53, 0)	(53, 14, 5)	nan
(52, 45, 3)	(45, 46, 0)	(46, 14, 3)	nan
(52, 45, 3)	(45, 46, 0)	(46, 14, 1)	nan
(52, 79, 7)	(79, 33, 8)	(33, 14, 3)	nan
(52, 79, 7)	(79, 33, 8)	(33, 14, 2)	nan
(52, 79, 7)	(79, 33, 4)	(33, 14, 3)	nan
(52, 79, 7)	(79, 33, 4)	(33, 14, 2)	nan
(52, 79, 7)	(79, 70, 4)	(70, 14, 3)	nan
(52, 79, 7)	(79, 66, 1)	(66, 14, 3)	nan
(52, 79, 7)	(79, 68, 1)	(68, 14, 3)	nan
(52, 79, 7)	(79, 68, 1)	(68, 14, 6)	nan
