(53, 12, 6)	nan
(53, 34, 3)	(34, 12, 3)	nan
(53, 34, 3)	(34, 70, 3)	(70, 12, 3)	nan
(53, 34, 3)	(34, 33, 8)	(33, 12, 3)	nan
(53, 34, 3)	(34, 35, 8)	(35, 12, 3)	nan
(53, 34, 3)	(34, 35, 8)	(35, 12, 3)	nan
(53, 34, 3)	(34, 35, 8)	(35, 12, 4)	nan
(53, 86, 2)	(86, 33, 8)	(33, 12, 3)	nan
(53, 86, 2)	(86, 33, 8)	(33, 12, 3)	nan
(53, 86, 2)	(86, 33, 3)	(33, 12, 3)	nan
(53, 86, 2)	(86, 66, 2)	(66, 12, 3)	nan
(53, 86, 2)	(86, 66, 2)	(66, 12, 0)	nan
(53, 86, 2)	(86, 77, 7)	(77, 12, 3)	nan
(53, 86, 2)	(86, 12, 7)	nan
(53, 86, 2)	(86, 65, 8)	(65, 12, 3)	nan
(53, 86, 2)	(86, 65, 8)	(65, 12, 4)	nan
(53, 85, 3)	(85, 33, 8)	(33, 12, 3)	nan
(53, 85, 3)	(85, 33, 4)	(33, 12, 3)	nan
(53, 85, 3)	(85, 83, 3)	(83, 12, 3)	nan
(53, 85, 3)	(85, 83, 3)	(83, 12, 3)	nan
(53, 85, 3)	(85, 83, 3)	(83, 12, 1)	nan
(53, 85, 3)	(85, 12, 3)	nan
(53, 85, 3)	(85, 35, 1)	(35, 12, 3)	nan
(53, 85, 3)	(85, 35, 1)	(35, 12, 3)	nan
(53, 85, 3)	(85, 35, 1)	(35, 12, 4)	nan
(53, 74, 3)	(74, 33, 8)	(33, 12, 3)	nan
(53, 74, 3)	(74, 33, 7)	(33, 12, 3)	nan
(53, 74, 3)	(74, 35, 7)	(35, 12, 3)	nan
(53, 74, 3)	(74, 35, 7)	(35, 12, 3)	nan
(53, 74, 3)	(74, 35, 7)	(35, 12, 4)	nan
(53, 74, 3)	(74, 29, 8)	(29, 12, 3)	nan
(53, 74, 3)	(74, 29, 8)	(29, 12, 4)	nan
(53, 57, 2)	(57, 35, 8)	(35, 12, 3)	nan
(53, 57, 2)	(57, 35, 8)	(35, 12, 3)	nan
(53, 57, 2)	(57, 35, 8)	(35, 12, 4)	nan
(53, 57, 2)	(57, 35, 8)	(35, 12, 3)	nan
(53, 57, 2)	(57, 35, 8)	(35, 12, 3)	nan
(53, 57, 2)	(57, 35, 8)	(35, 12, 4)	nan
(53, 57, 2)	(57, 35, 0)	(35, 12, 3)	nan
(53, 57, 2)	(57, 35, 0)	(35, 12, 3)	nan
(53, 57, 2)	(57, 35, 0)	(35, 12, 4)	nan
(53, 57, 2)	(57, 56, 7)	(56, 12, 3)	nan
(53, 57, 2)	(57, 56, 7)	(56, 12, 8)	nan
(53, 57, 2)	(57, 32, 8)	(32, 12, 3)	nan
(53, 57, 2)	(57, 32, 8)	(32, 12, 4)	nan
(53, 57, 2)	(57, 32, 1)	(32, 12, 3)	nan
(53, 57, 2)	(57, 32, 1)	(32, 12, 4)	nan
(53, 57, 2)	(57, 87, 7)	(87, 12, 3)	nan
(53, 57, 2)	(57, 58, 4)	(58, 12, 3)	nan
(53, 57, 2)	(57, 58, 4)	(58, 12, 3)	nan
