(54, 27, 7)	nan
(54, 27, 4)	nan
(54, 35, 3)	(35, 27, 7)	nan
(54, 35, 3)	(35, 74, 5)	(74, 27, 7)	nan
(54, 35, 3)	(35, 74, 5)	(74, 27, 7)	nan
(54, 35, 3)	(35, 74, 5)	(74, 27, 5)	nan
(54, 35, 3)	(35, 74, 5)	(74, 27, 2)	nan
(54, 35, 3)	(35, 68, 7)	(68, 27, 7)	nan
(54, 35, 3)	(35, 68, 7)	(68, 27, 7)	nan
(54, 35, 3)	(35, 68, 7)	(68, 27, 6)	nan
(54, 35, 3)	(35, 56, 1)	(56, 27, 7)	nan
(54, 35, 3)	(35, 30, 8)	(30, 27, 7)	nan
(54, 35, 3)	(35, 52, 3)	(52, 27, 7)	nan
(54, 35, 3)	(35, 52, 3)	(52, 27, 1)	nan
(54, 35, 3)	(35, 88, 1)	(88, 27, 7)	nan
(54, 35, 3)	(35, 88, 1)	(88, 27, 7)	nan
(54, 35, 3)	(35, 88, 1)	(88, 27, 5)	nan
(54, 35, 3)	(35, 88, 1)	(88, 27, 3)	nan
(54, 79, 1)	(79, 27, 7)	nan
(54, 79, 1)	(79, 27, 7)	nan
(54, 79, 1)	(79, 27, 5)	nan
(54, 79, 1)	(79, 33, 8)	(33, 27, 7)	nan
(54, 79, 1)	(79, 33, 8)	(33, 27, 0)	nan
(54, 79, 1)	(79, 33, 4)	(33, 27, 7)	nan
(54, 79, 1)	(79, 33, 4)	(33, 27, 0)	nan
(54, 79, 1)	(79, 74, 1)	(74, 27, 7)	nan
(54, 79, 1)	(79, 74, 1)	(74, 27, 7)	nan
(54, 79, 1)	(79, 74, 1)	(74, 27, 5)	nan
(54, 79, 1)	(79, 74, 1)	(74, 27, 2)	nan
(54, 79, 1)	(79, 70, 4)	(70, 27, 7)	nan
(54, 79, 1)	(79, 70, 4)	(70, 27, 8)	nan
(54, 79, 1)	(79, 70, 4)	(70, 27, 1)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 66, 1)	(66, 27, 7)	nan
(54, 79, 1)	(79, 68, 1)	(68, 27, 7)	nan
(54, 79, 1)	(79, 68, 1)	(68, 27, 7)	nan
(54, 79, 1)	(79, 68, 1)	(68, 27, 6)	nan
