(59, 15, 7)	nan
(59, 15, 1)	nan
(59, 29, 3)	(29, 15, 3)	nan
(59, 29, 3)	(29, 15, 8)	nan
(59, 29, 3)	(29, 50, 5)	(50, 15, 3)	nan
(59, 29, 3)	(29, 50, 5)	(50, 15, 3)	nan
(59, 29, 3)	(29, 35, 1)	(35, 15, 3)	nan
(59, 29, 3)	(29, 35, 1)	(35, 15, 8)	nan
(59, 29, 3)	(29, 76, 3)	(76, 15, 3)	nan
(59, 29, 3)	(29, 76, 3)	(76, 15, 3)	nan
(59, 29, 3)	(29, 86, 1)	(86, 15, 3)	nan
(59, 29, 3)	(29, 61, 7)	(61, 15, 3)	nan
(59, 29, 3)	(29, 61, 7)	(61, 15, 3)	nan
(59, 29, 3)	(29, 61, 7)	(61, 15, 7)	nan
(59, 77, 3)	(77, 34, 8)	(34, 15, 3)	nan
(59, 77, 3)	(77, 34, 8)	(34, 15, 1)	nan
(59, 77, 3)	(77, 34, 2)	(34, 15, 3)	nan
(59, 77, 3)	(77, 34, 2)	(34, 15, 1)	nan
(59, 77, 3)	(77, 35, 7)	(35, 15, 3)	nan
(59, 77, 3)	(77, 35, 7)	(35, 15, 8)	nan
(59, 77, 3)	(77, 30, 7)	(30, 15, 3)	nan
(59, 47, 5)	(47, 60, 5)	(60, 15, 3)	nan
(59, 47, 5)	(47, 60, 5)	(60, 15, 3)	nan
(59, 47, 5)	(47, 60, 5)	(60, 15, 7)	nan
(59, 47, 5)	(47, 60, 5)	(60, 15, 0)	nan
(59, 47, 5)	(47, 60, 0)	(60, 15, 3)	nan
(59, 47, 5)	(47, 60, 0)	(60, 15, 3)	nan
(59, 47, 5)	(47, 60, 0)	(60, 15, 7)	nan
(59, 47, 5)	(47, 60, 0)	(60, 15, 0)	nan
(59, 47, 5)	(47, 45, 7)	(45, 15, 3)	nan
(59, 47, 5)	(47, 57, 2)	(57, 15, 3)	nan
(59, 47, 5)	(47, 57, 2)	(57, 15, 3)	nan
(59, 47, 5)	(47, 57, 2)	(57, 15, 2)	nan
(59, 47, 5)	(47, 72, 7)	(72, 15, 3)	nan
(59, 47, 5)	(47, 72, 7)	(72, 15, 3)	nan
(59, 47, 5)	(47, 72, 7)	(72, 15, 3)	nan
(59, 47, 5)	(47, 72, 7)	(72, 15, 3)	nan
(59, 47, 5)	(47, 43, 0)	(43, 15, 3)	nan
(59, 47, 5)	(47, 43, 0)	(43, 15, 3)	nan
(59, 47, 5)	(47, 15, 0)	nan
(59, 47, 5)	(47, 15, 3)	nan
(59, 47, 5)	(47, 39, 5)	(39, 15, 3)	nan
(59, 47, 2)	(47, 60, 5)	(60, 15, 3)	nan
(59, 47, 2)	(47, 60, 5)	(60, 15, 3)	nan
(59, 47, 2)	(47, 60, 5)	(60, 15, 7)	nan
(59, 47, 2)	(47, 60, 5)	(60, 15, 0)	nan
(59, 47, 2)	(47, 60, 0)	(60, 15, 3)	nan
(59, 47, 2)	(47, 60, 0)	(60, 15, 3)	nan
(59, 47, 2)	(47, 60, 0)	(60, 15, 7)	nan
