(64, 29, 8)	(29, 17, 3)	nan
(64, 29, 8)	(29, 17, 3)	nan
(64, 29, 8)	(29, 17, 0)	nan
(64, 29, 8)	(29, 17, 3)	nan
(64, 29, 8)	(29, 17, 3)	nan
(64, 29, 8)	(29, 17, 0)	nan
(64, 29, 4)	(29, 17, 3)	nan
(64, 29, 4)	(29, 17, 3)	nan
(64, 29, 4)	(29, 17, 0)	nan
(64, 29, 6)	(29, 17, 3)	nan
(64, 29, 6)	(29, 17, 3)	nan
(64, 29, 6)	(29, 17, 0)	nan
(64, 33, 0)	(33, 17, 3)	nan
(64, 33, 0)	(33, 54, 2)	(54, 17, 3)	nan
(64, 33, 0)	(33, 54, 2)	(54, 17, 3)	nan
(64, 33, 0)	(33, 54, 2)	(54, 17, 7)	nan
(64, 33, 0)	(33, 54, 2)	(54, 17, 4)	nan
(64, 33, 0)	(33, 29, 2)	(29, 17, 3)	nan
(64, 33, 0)	(33, 29, 2)	(29, 17, 3)	nan
(64, 33, 0)	(33, 29, 2)	(29, 17, 0)	nan
(64, 30, 8)	(30, 17, 3)	nan
(64, 30, 8)	(30, 34, 8)	(34, 17, 3)	nan
(64, 30, 8)	(30, 34, 8)	(34, 17, 3)	nan
(64, 30, 8)	(30, 34, 8)	(34, 17, 0)	nan
(64, 30, 5)	(30, 17, 3)	nan
(64, 30, 5)	(30, 34, 8)	(34, 17, 3)	nan
(64, 30, 5)	(30, 34, 8)	(34, 17, 3)	nan
(64, 30, 5)	(30, 34, 8)	(34, 17, 0)	nan
(64, 83, 7)	(83, 29, 8)	(29, 17, 3)	nan
(64, 83, 7)	(83, 29, 8)	(29, 17, 3)	nan
(64, 83, 7)	(83, 29, 8)	(29, 17, 0)	nan
(64, 83, 7)	(83, 29, 2)	(29, 17, 3)	nan
(64, 83, 7)	(83, 29, 2)	(29, 17, 3)	nan
(64, 83, 7)	(83, 29, 2)	(29, 17, 0)	nan
(64, 83, 7)	(83, 49, 1)	(49, 17, 3)	nan
(64, 60, 3)	(60, 30, 8)	(30, 17, 3)	nan
(64, 60, 3)	(60, 34, 6)	(34, 17, 3)	nan
(64, 60, 3)	(60, 34, 6)	(34, 17, 3)	nan
(64, 60, 3)	(60, 34, 6)	(34, 17, 0)	nan
(64, 36, 7)	(36, 66, 1)	(66, 17, 3)	nan
(64, 36, 7)	(36, 66, 1)	(66, 17, 3)	nan
(64, 36, 7)	(36, 58, 7)	(58, 17, 3)	nan
(64, 36, 7)	(36, 58, 7)	(58, 17, 3)	nan
(64, 36, 7)	(36, 58, 7)	(58, 17, 2)	nan
(64, 36, 7)	(36, 58, 7)	(58, 17, 6)	nan
(64, 36, 7)	(36, 55, 0)	(55, 17, 3)	nan
(64, 36, 7)	(36, 55, 0)	(55, 17, 1)	nan
(64, 36, 7)	(36, 29, 7)	(29, 17, 3)	nan
(64, 36, 7)	(36, 29, 7)	(29, 17, 3)	nan
(64, 36, 7)	(36, 29, 7)	(29, 17, 0)	nan
(64, 36, 7)	(36, 29, 8)	(29, 17, 3)	nan
