(80, 66, 0)	(66, 11, 2)	nan
(80, 66, 0)	(66, 11, 2)	nan
(80, 66, 0)	(66, 11, 2)	nan
(80, 66, 0)	(66, 11, 2)	nan
(80, 71, 5)	(71, 34, 8)	(34, 11, 2)	nan
(80, 71, 5)	(71, 34, 8)	(34, 11, 8)	nan
(80, 71, 5)	(71, 34, 8)	(34, 11, 2)	nan
(80, 71, 5)	(71, 34, 8)	(34, 11, 8)	nan
(80, 71, 5)	(71, 34, 1)	(34, 11, 2)	nan
(80, 71, 5)	(71, 34, 1)	(34, 11, 8)	nan
(80, 71, 5)	(71, 34, 1)	(34, 11, 2)	nan
(80, 71, 5)	(71, 34, 1)	(34, 11, 8)	nan
(80, 71, 5)	(71, 83, 8)	(83, 11, 2)	nan
(80, 71, 5)	(71, 83, 8)	(83, 11, 2)	nan
(80, 71, 5)	(71, 83, 8)	(83, 11, 2)	nan
(80, 71, 5)	(71, 83, 8)	(83, 11, 2)	nan
(80, 71, 5)	(71, 11, 7)	nan
(80, 71, 5)	(71, 74, 7)	(74, 11, 2)	nan
(80, 71, 5)	(71, 74, 7)	(74, 11, 7)	nan
(80, 71, 5)	(71, 74, 7)	(74, 11, 3)	nan
(80, 71, 5)	(71, 31, 7)	(31, 11, 2)	nan
(80, 71, 5)	(71, 31, 7)	(31, 11, 5)	nan
