(83, 29, 8)	(29, 17, 3)	nan
(83, 29, 8)	(29, 17, 3)	nan
(83, 29, 8)	(29, 17, 0)	nan
(83, 29, 2)	(29, 17, 3)	nan
(83, 29, 2)	(29, 17, 3)	nan
(83, 29, 2)	(29, 17, 0)	nan
(83, 87, 0)	(87, 34, 8)	(34, 17, 3)	nan
(83, 87, 0)	(87, 34, 8)	(34, 17, 3)	nan
(83, 87, 0)	(87, 34, 8)	(34, 17, 0)	nan
(83, 87, 0)	(87, 34, 7)	(34, 17, 3)	nan
(83, 87, 0)	(87, 34, 7)	(34, 17, 3)	nan
(83, 87, 0)	(87, 34, 7)	(34, 17, 0)	nan
(83, 87, 0)	(87, 44, 5)	(44, 17, 3)	nan
(83, 87, 0)	(87, 44, 5)	(44, 17, 3)	nan
(83, 87, 0)	(87, 59, 4)	(59, 17, 3)	nan
(83, 87, 0)	(87, 59, 4)	(59, 17, 4)	nan
(83, 87, 0)	(87, 51, 7)	(51, 17, 3)	nan
(83, 82, 1)	(82, 43, 4)	(43, 17, 8)	nan
(83, 82, 1)	(82, 38, 0)	(38, 17, 3)	nan
(83, 82, 1)	(82, 38, 0)	(38, 17, 3)	nan
(83, 85, 0)	(85, 33, 8)	(33, 17, 3)	nan
(83, 85, 0)	(85, 33, 4)	(33, 17, 3)	nan
(83, 49, 1)	(49, 58, 3)	(58, 17, 3)	nan
(83, 49, 1)	(49, 58, 3)	(58, 17, 3)	nan
(83, 49, 1)	(49, 58, 3)	(58, 17, 2)	nan
(83, 49, 1)	(49, 58, 3)	(58, 17, 6)	nan
(83, 49, 1)	(49, 58, 2)	(58, 17, 3)	nan
(83, 49, 1)	(49, 58, 2)	(58, 17, 3)	nan
(83, 49, 1)	(49, 58, 2)	(58, 17, 2)	nan
(83, 49, 1)	(49, 58, 2)	(58, 17, 6)	nan
(83, 49, 1)	(49, 17, 3)	nan
(83, 78, 0)	(78, 33, 8)	(33, 17, 3)	nan
(83, 78, 0)	(78, 33, 3)	(33, 17, 3)	nan
