(88, 27, 5)	nan
(88, 27, 3)	nan
(88, 31, 1)	(31, 27, 7)	nan
(88, 31, 1)	(31, 27, 7)	nan
(88, 31, 1)	(31, 27, 5)	nan
(88, 31, 1)	(31, 27, 6)	nan
(88, 31, 1)	(31, 35, 8)	(35, 27, 7)	nan
(88, 31, 1)	(31, 29, 5)	(29, 27, 7)	nan
(88, 31, 1)	(31, 29, 5)	(29, 27, 5)	nan
(88, 31, 1)	(31, 30, 8)	(30, 27, 7)	nan
(88, 31, 1)	(31, 55, 5)	(55, 27, 7)	nan
(88, 31, 1)	(31, 69, 7)	(69, 27, 7)	nan
(88, 31, 1)	(31, 69, 7)	(69, 27, 7)	nan
(88, 31, 1)	(31, 69, 7)	(69, 27, 7)	nan
(88, 31, 1)	(31, 69, 7)	(69, 27, 7)	nan
(88, 31, 1)	(31, 69, 7)	(69, 27, 7)	nan
(88, 31, 1)	(31, 69, 7)	(69, 27, 7)	nan
(88, 31, 1)	(31, 69, 7)	(69, 27, 7)	nan
(88, 31, 1)	(31, 69, 7)	(69, 27, 7)	nan
(88, 31, 1)	(31, 69, 7)	(69, 27, 7)	nan
(88, 31, 1)	(31, 69, 7)	(69, 27, 7)	nan
(88, 31, 1)	(31, 69, 7)	(69, 27, 7)	nan
(88, 31, 1)	(31, 69, 7)	(69, 27, 7)	nan
(88, 43, 1)	(43, 30, 8)	(30, 27, 7)	nan
(88, 43, 1)	(43, 27, 7)	nan
(88, 43, 1)	(43, 27, 2)	nan
(88, 43, 1)	(43, 55, 0)	(55, 27, 7)	nan
(88, 43, 1)	(43, 89, 0)	(89, 27, 7)	nan
(88, 43, 1)	(43, 89, 0)	(89, 27, 7)	nan
(88, 43, 1)	(43, 89, 0)	(89, 27, 6)	nan
(88, 43, 1)	(43, 89, 0)	(89, 27, 6)	nan
(88, 43, 1)	(43, 89, 7)	(89, 27, 7)	nan
(88, 43, 1)	(43, 89, 7)	(89, 27, 7)	nan
(88, 43, 1)	(43, 89, 7)	(89, 27, 6)	nan
(88, 43, 1)	(43, 89, 7)	(89, 27, 6)	nan
(88, 43, 1)	(43, 70, 1)	(70, 27, 7)	nan
(88, 43, 1)	(43, 70, 1)	(70, 27, 8)	nan
(88, 43, 1)	(43, 70, 1)	(70, 27, 1)	nan
(88, 43, 1)	(43, 63, 0)	(63, 27, 7)	nan
