(89, 7, 5)	nan
(89, 46, 7)	(46, 7, 1)	nan
(89, 46, 7)	(46, 7, 1)	nan
(89, 46, 7)	(46, 7, 3)	nan
(89, 46, 7)	(46, 7, 4)	nan
(89, 46, 7)	(46, 30, 8)	(30, 7, 1)	nan
(89, 46, 7)	(46, 30, 8)	(30, 7, 4)	nan
(89, 46, 7)	(46, 74, 0)	(74, 7, 1)	nan
(89, 46, 7)	(46, 69, 0)	(69, 7, 1)	nan
(89, 46, 7)	(46, 69, 0)	(69, 7, 7)	nan
(89, 46, 7)	(46, 54, 5)	(54, 7, 1)	nan
(89, 46, 7)	(46, 54, 5)	(54, 7, 0)	nan
(89, 46, 7)	(46, 53, 0)	(53, 7, 1)	nan
(89, 46, 7)	(46, 53, 0)	(53, 7, 7)	nan
(89, 90, 1)	(90, 7, 1)	nan
(89, 90, 1)	(90, 7, 2)	nan
(89, 90, 1)	(90, 71, 0)	(71, 7, 1)	nan
(89, 90, 1)	(90, 71, 0)	(71, 7, 6)	nan
(89, 90, 1)	(90, 55, 0)	(55, 7, 1)	nan
(89, 90, 1)	(90, 55, 0)	(55, 7, 2)	nan
(89, 90, 1)	(90, 63, 7)	(63, 7, 1)	nan
(89, 90, 1)	(90, 63, 7)	(63, 7, 3)	nan
(89, 90, 1)	(90, 85, 0)	(85, 7, 1)	nan
(89, 90, 1)	(90, 85, 0)	(85, 7, 6)	nan
(89, 90, 1)	(90, 30, 7)	(30, 7, 1)	nan
(89, 90, 1)	(90, 30, 7)	(30, 7, 4)	nan
