(91, 6, 3)	nan
(91, 6, 6)	nan
(91, 39, 3)	(39, 6, 1)	nan
(91, 39, 3)	(39, 6, 7)	nan
(91, 39, 3)	(39, 6, 2)	nan
(91, 39, 3)	(39, 87, 7)	(87, 6, 1)	nan
(91, 39, 3)	(39, 87, 7)	(87, 6, 2)	nan
(91, 39, 3)	(39, 82, 5)	(82, 6, 1)	nan
(91, 39, 3)	(39, 82, 5)	(82, 6, 1)	nan
(91, 39, 3)	(39, 82, 5)	(82, 6, 1)	nan
(91, 39, 3)	(39, 82, 5)	(82, 6, 1)	nan
(91, 39, 3)	(39, 82, 5)	(82, 6, 1)	nan
(91, 39, 3)	(39, 82, 5)	(82, 6, 1)	nan
(91, 39, 3)	(39, 82, 5)	(82, 6, 1)	nan
(91, 39, 3)	(39, 82, 5)	(82, 6, 1)	nan
(91, 39, 3)	(39, 52, 0)	(52, 6, 1)	nan
(91, 39, 3)	(39, 52, 0)	(52, 6, 0)	nan
(91, 39, 3)	(39, 72, 7)	(72, 6, 1)	nan
(91, 39, 3)	(39, 72, 7)	(72, 6, 1)	nan
(91, 39, 3)	(39, 72, 7)	(72, 6, 8)	nan
(91, 39, 3)	(39, 72, 7)	(72, 6, 3)	nan
(91, 39, 3)	(39, 89, 0)	(89, 6, 1)	nan
(91, 39, 3)	(39, 89, 0)	(89, 6, 1)	nan
(91, 39, 3)	(39, 89, 0)	(89, 6, 0)	nan
(91, 39, 3)	(39, 29, 7)	(29, 6, 1)	nan
(91, 39, 3)	(39, 29, 7)	(29, 6, 2)	nan
(91, 39, 3)	(39, 64, 0)	(64, 6, 1)	nan
(91, 39, 3)	(39, 64, 0)	(64, 6, 1)	nan
(91, 39, 3)	(39, 64, 0)	(64, 6, 2)	nan
(91, 39, 3)	(39, 64, 0)	(64, 6, 5)	nan
(91, 39, 3)	(39, 62, 8)	(62, 6, 1)	nan
(91, 39, 3)	(39, 62, 8)	(62, 6, 2)	nan
(91, 39, 3)	(39, 50, 5)	(50, 6, 1)	nan
(91, 39, 3)	(39, 50, 5)	(50, 6, 1)	nan
(91, 39, 3)	(39, 50, 5)	(50, 6, 5)	nan
(91, 39, 3)	(39, 50, 5)	(50, 6, 7)	nan
(91, 39, 3)	(39, 90, 0)	(90, 6, 0)	nan
(91, 39, 3)	(39, 55, 1)	(55, 6, 1)	nan
(91, 39, 3)	(39, 55, 1)	(55, 6, 7)	nan
(91, 39, 3)	(39, 68, 0)	(68, 6, 1)	nan
(91, 39, 3)	(39, 68, 0)	(68, 6, 1)	nan
(91, 39, 3)	(39, 68, 0)	(68, 6, 3)	nan
(91, 49, 7)	(49, 6, 1)	nan
(91, 49, 7)	(49, 41, 2)	(41, 6, 1)	nan
(91, 49, 7)	(49, 41, 2)	(41, 6, 1)	nan
(91, 49, 7)	(49, 41, 2)	(41, 6, 0)	nan
(91, 49, 7)	(49, 41, 2)	(41, 6, 2)	nan
(91, 49, 7)	(49, 58, 3)	(58, 6, 1)	nan
(91, 49, 7)	(49, 58, 2)	(58, 6, 1)	nan
